NOMBRE,LINK MAPS,HTML
Parroquia de la Santa Cruz,https://maps.app.goo.gl/BspACWEUhh86bCD29,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.828349216152!2d-98.1874608!3d19.046003699999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0fb39be4169%3A0xd0de51f79c51c4d7!2sParroquia%20de%20la%20Santa%20Cruz!5e1!3m2!1ses-419!2smx!4v1782599829300!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Parroquia del Santo Angel Custodio,https://maps.app.goo.gl/3dE53YubjvAs3qHH8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7543.134113623503!2d-98.19278709999999!3d19.038790100000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0ef25f1a12f%3A0x9c8e10400f8725db!2sParroquia%20del%20Santo%20%C3%81ngel%20Custodio%20de%20Analco!5e0!3m2!1ses!2smx!4v1782599846885!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Portales,https://maps.app.goo.gl/8UoorfcZj3Hg27TD7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15085.773921119086!2d-98.19821210426501!3d19.04422949871264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e79fb8569d%3A0xf26cc8b531ad1a48!2sLOS%20PORTALES!5e0!3m2!1ses!2smx!4v1782599885574!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Puente de Bubas,https://maps.app.goo.gl/gh8Be5jifvKmrtwJA,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.4948106575957!2d-98.19246609999999!3d19.0419703!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e58f3b22cf%3A0xd1266a5551385373!2sCasa%20del%20Puente%20de%20Bubas!5e0!3m2!1ses!2smx!4v1782599918480!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Palacio Municipal,https://maps.app.goo.gl/eKDgu1qYEcVTXDLc7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d471.43099256741334!2d-98.1979517!3d19.0440332!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7a6dd8003%3A0xca58b604e9cac5e5!2sPalacio%20Municipal%20de%20Puebla!5e0!3m2!1ses!2smx!4v1782599937188!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Restauro,https://maps.app.goo.gl/qAfRuPKTgrAJKHig9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3771.5199420603158!2d-98.1984699!3d19.0408641!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc1158f9d1c1d%3A0x23ac79a489ca94a4!2sLOFTS%20RESTAURO!5e0!3m2!1ses!2smx!4v1782599952965!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Ruinas San Francisco,https://maps.app.goo.gl/NE56uejkahZfBWhSA,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d2393.99391037268!2d-98.191079!3d19.0434507!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e51322d579%3A0xce6e06bc42ff2f95!2sParque%20Paseo%20San%20Francisco!5e1!3m2!1ses-419!2smx!4v1782599972703!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Salón Mezcalli,https://maps.app.goo.gl/W6E16ZAB3f5gBpsT7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7543.09113002177!2d-98.19441739999999!3d19.0397362!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc1f8bdad9acb%3A0x14d1e0b2d6a24f8e!2sRestaurante%20Sal%C3%B3n%20Mezcalli!5e0!3m2!1ses!2smx!4v1782600002664!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
San Cristóbal,https://maps.app.goo.gl/c1EvRqAtC93gCuMr8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.861357492711!2d-98.1943986!3d19.0454316!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e69b05acf1%3A0x73b7a621787b64bf!2sTemplo%20de%20San%20Crist%C3%B3bal!5e1!3m2!1ses-419!2smx!4v1782600017732!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Santa Clara,https://maps.app.goo.gl/VbLE8NVGrd4zffUZ6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4787.926184221474!2d-98.19487310000001!3d19.045587400000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e6911b92e1%3A0x1d803b1efe62ac33!2sEl%20Convento%20De%20Santa%20Clara!5e1!3m2!1ses-419!2smx!4v1782600035401!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
